times,sauna,lüftung,gastronomie,gesundheitspark,technik,gesamt
02-11-2013 03:45:00,1107.2,19373.9,4040.6,28407.2,8964.2,88000.0
02-11-2013 04:00:00,1143.0,19188.5,3898.7,48966.6,11226.3,89333.3
02-11-2013 04:15:00,1098.0,19337.4,4159.8,42313.1,13640.9,100000.0
02-11-2013 04:30:00,1102.4,19351.8,4052.6,42915.0,12839.8,102666.7
02-11-2013 04:45:00,1268.4,19330.2,3551.0,45498.4,11040.9,104000.0
02-11-2013 05:00:00,3668.5,19246.0,17813.8,50773.3,9034.0,106666.7
02-11-2013 05:15:00,3569.5,19029.7,20111.3,44384.0,11368.7,136000.0
02-11-2013 05:30:00,3385.0,19320.5,22035.9,41345.0,11803.3,140000.0
02-11-2013 05:45:00,3656.8,20163.1,31907.2,43831.2,20487.9,142666.7
02-11-2013 06:00:00,3554.0,20097.0,31471.2,52451.2,25184.9,164000.0
02-11-2013 06:15:00,3796.3,20133.0,27165.8,51884.7,28503.2,181333.3
02-11-2013 06:30:00,3692.3,20270.7,8869.7,54978.7,25873.0,185333.3
02-11-2013 06:45:00,3528.1,19925.4,15304.3,67738.7,28326.6,168000.0
02-11-2013 07:00:00,3722.5,20121.9,11757.1,67039.6,27454.6,182666.7
02-11-2013 07:15:00,3505.9,20117.1,30680.4,65832.6,30017.9,176000.0
02-11-2013 07:30:00,3658.2,20092.7,33058.7,64936.3,33644.4,193333.3
02-11-2013 07:45:00,3607.9,20061.3,36861.9,66331.6,33335.2,204000.0
02-11-2013 08:00:00,3434.7,19862.3,35226.0,72114.0,56679.7,205333.3
02-11-2013 08:15:00,26702.9,20098.7,51454.3,70951.2,61711.3,246666.7
02-11-2013 08:30:00,33218.4,20121.3,47305.2,68099.9,61882.3,273333.3
02-11-2013 08:45:00,29823.8,20095.5,31342.3,60365.7,61551.2,277333.3
02-11-2013 09:00:00,23085.6,20068.9,40989.6,66263.8,61293.1,256000.0
02-11-2013 09:15:00,20579.4,19889.7,38245.7,72706.0,61214.8,258666.7
02-11-2013 09:30:00,20194.8,20042.4,35000.2,78242.5,61045.8,256000.0
02-11-2013 09:45:00,19591.1,20057.8,35956.2,73843.0,60965.8,260000.0
02-11-2013 10:00:00,19298.6,20111.7,36137.4,70145.0,60950.6,261333.3
02-11-2013 10:15:00,17390.0,20069.0,35148.1,66115.8,60540.6,257333.3
02-11-2013 10:30:00,19494.7,19882.8,30763.1,75095.9,61220.4,252000.0
02-11-2013 10:45:00,20082.2,20069.2,37614.5,70854.0,51080.1,256000.0
02-11-2013 11:00:00,23005.4,20093.5,28674.8,61009.5,44120.6,252000.0
02-11-2013 11:15:00,17126.3,20102.8,30252.8,62504.4,41894.8,230666.7
02-11-2013 11:30:00,19644.5,20083.9,29751.4,62661.5,39753.0,225333.3
02-11-2013 11:45:00,19389.4,20110.8,30082.9,62576.5,42087.6,229333.3
02-11-2013 12:00:00,16991.7,19867.9,35092.0,57763.8,39109.3,229333.3
02-11-2013 12:15:00,17597.4,20103.2,42949.0,57389.6,42068.3,221333.3
02-11-2013 12:30:00,17423.9,20136.1,37711.7,57018.1,39952.8,233333.3
02-11-2013 12:45:00,19639.0,20126.2,46775.7,63948.6,42298.2,226666.7
02-11-2013 13:00:00,20807.4,20066.8,46248.7,53340.0,40740.2,244000.0
02-11-2013 13:15:00,19460.1,19878.3,35658.1,50605.7,41188.6,241333.3
02-11-2013 13:30:00,17515.2,20071.8,34565.5,48748.8,42064.2,225333.3
02-11-2013 13:45:00,16721.2,20086.0,44202.3,45777.2,40314.8,224000.0
02-11-2013 14:00:00,17586.7,20081.8,37657.7,36524.7,42374.4,228000.0
02-11-2013 14:15:00,19517.8,20084.2,39107.8,36962.8,40119.8,216000.0
02-11-2013 14:30:00,17781.7,19901.5,35143.1,41713.0,42759.3,224000.0
02-11-2013 14:45:00,19736.7,20084.0,33432.6,41229.7,62015.3,216000.0
02-11-2013 15:00:00,21905.9,20108.0,35000.8,43380.7,61229.0,238666.7
02-11-2013 15:15:00,18179.7,20022.2,35205.8,40498.0,60985.5,242666.7
02-11-2013 15:30:00,19455.7,20090.1,29868.9,39757.5,61059.4,237333.3
02-11-2013 15:45:00,20167.1,20009.3,32125.7,34289.3,61403.9,232000.0
02-11-2013 16:00:00,21279.0,20213.3,32991.6,33863.0,61008.2,232000.0
02-11-2013 16:15:00,21553.1,20205.5,23468.4,33588.6,60861.5,238666.7
